50 615
1 4 21
1 5 71
1 7 90
1 9 19
1 10 21
1 14 23
1 17 100
1 22 21
1 26 82
1 27 88
1 28 32
1 32 80
1 34 43
1 37 4
1 39 62
1 42 81
1 43 87
1 45 51
1 46 6
1 48 29
1 50 31
2 5 82
2 6 37
2 7 43
2 10 22
2 19 31
2 21 46
2 23 29
2 24 21
2 25 54
2 28 60
2 29 47
2 37 73
2 39 18
2 46 50
3 4 73
3 6 99
3 9 2
3 11 21
3 12 75
3 14 1
3 16 88
3 17 50
3 19 92
3 24 23
3 28 20
3 29 3
3 31 4
3 32 42
3 34 66
3 35 1
3 36 5
3 39 7
3 40 100
3 41 15
3 42 74
3 43 79
3 45 19
3 46 100
3 48 20
3 49 87
4 5 49
4 6 4
4 10 54
4 13 56
4 16 73
4 17 88
4 19 43
4 20 92
4 21 32
4 22 18
4 25 47
4 26 66
4 28 28
4 30 69
4 32 52
4 33 10
4 34 17
4 35 53
4 37 73
4 38 85
4 39 45
4 44 13
4 45 56
4 47 56
4 48 32
4 49 61
4 50 49
5 7 29
5 10 51
5 11 31
5 13 83
5 15 62
5 16 51
5 17 75
5 18 9
5 20 33
5 24 36
5 25 68
5 26 48
5 30 70
5 33 3
5 36 78
5 38 79
5 39 100
5 41 61
5 44 31
5 45 36
5 48 6
5 50 79
6 8 42
6 9 51
6 10 81
6 11 14
6 14 69
6 17 7
6 19 19
6 20 92
6 21 51
6 27 4
6 34 99
6 36 54
6 38 94
6 39 51
6 40 56
6 43 14
6 45 92
6 46 59
6 48 78
6 49 60
7 8 21
7 9 22
7 10 44
7 11 61
7 12 53
7 14 21
7 15 76
7 16 37
7 17 98
7 18 65
7 20 15
7 23 48
7 24 45
7 26 19
7 27 81
7 32 46
7 35 99
7 36 61
7 38 81
7 39 67
7 40 97
7 42 7
7 43 26
7 46 33
7 47 23
7 49 93
8 9 75
8 10 42
8 11 38
8 15 49
8 17 82
8 18 6
8 19 38
8 20 71
8 22 56
8 23 5
8 24 88
8 25 53
8 27 35
8 30 49
8 31 94
8 34 27
8 36 45
8 37 18
8 38 17
8 40 15
8 42 79
8 43 46
8 47 22
8 48 4
8 49 56
9 14 74
9 15 51
9 17 60
9 18 10
9 19 83
9 20 91
9 22 91
9 23 88
9 24 10
9 37 100
9 41 55
9 43 70
9 48 93
9 49 71
10 11 18
10 12 22
10 15 20
10 16 27
10 18 22
10 20 30
10 21 4
10 23 68
10 24 18
10 25 64
10 26 46
10 30 80
10 32 95
10 34 37
10 35 92
10 36 43
10 37 88
10 38 16
10 41 53
10 43 99
10 44 34
10 46 21
10 49 44
11 12 81
11 13 65
11 17 43
11 26 69
11 28 89
11 30 19
11 32 49
11 33 95
11 35 96
11 40 72
11 41 40
11 46 31
11 47 49
11 48 45
11 49 50
12 15 61
12 16 66
12 19 40
12 20 53
12 22 53
12 26 13
12 27 88
12 28 20
12 29 19
12 30 1
12 31 75
12 34 77
12 36 82
12 37 91
12 40 67
12 41 14
12 42 90
12 43 100
12 46 83
12 47 90
12 48 27
12 50 77
13 15 83
13 16 78
13 17 66
13 21 15
13 23 35
13 25 89
13 29 94
13 30 79
13 32 22
13 33 49
13 34 11
13 35 5
13 36 2
13 37 15
13 38 47
13 39 93
13 42 62
13 43 41
13 45 14
13 46 87
13 47 58
13 49 48
13 50 75
14 15 90
14 17 33
14 18 86
14 19 63
14 20 100
14 23 30
14 27 21
14 28 72
14 30 71
14 31 10
14 32 100
14 34 66
14 35 22
14 37 4
14 38 83
14 39 22
14 42 67
14 43 53
14 47 78
14 49 85
15 17 27
15 19 57
15 21 91
15 23 88
